"ANA201704080",17,"$Martin Maldonado called for batter interference"FILENAME_TX","LINE_NUMBER_CT"

"ANA201704080",20,"replay,3,hanim001,SEA,gibsg901,ANA01,,Y,M,ANA,A $when Jean Segura was called safe at 3B, Angels manager Mike Scioscia challenged the ruling; the call was overturned by replay"2017ANA.EVA.regular.comment.csv",2

"ANA201704080",61,"replay,7,simma001,ANA,gibsg901,ANA01,,Y,M,SEA,C $when Andrelton Simmons was called safe at 1B, Mariners manager Scott Servais challenged the ruling; the call was overturned by replay"2017ANA.EVA.regular.comment.csv",3

"ANA201704110",87,"$Jefry Marte's back swing struck catcher Robinson Chirinos during a steal attempt; Marte called for batter interference and the runner was sent back to 1B since Marte was already out on the strikeout; orginally scored as interference, but changed to strikeout on 04-12-2017"2017ANA.EVA.regular.comment.csv",4

"ANA201704210",75,"replay,8,martj007,ANA,marqa901,ANA01,O,N,M,TOR,H replay,8,martj007,ANA,marqa901,ANA01,,N,M,TOR,O $Jefry Marte's fly down the LF line struck the wall behind Ezequiel Carrera; when the ball was ruled fair and in play, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"2017ANA.EVA.regular.comment.csv",5

"ANA201704230",22,"ej,gibbj001,M,dejer901,Quick pitch call Blue Jays Manager John Gibbons ejected by HP umpire Ramon De Jesus after Marcus Stroman was called for a quick pitch; the pitch was ruled an automatic ball"2017ANA.EVA.regular.comment.csv",6

"ANA201704240",41,"replay,5,escoy001,ANA,laynj901,ANA01,,N,M,TOR,A $when Cameron Maybin was called safe at HP, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay"2017ANA.EVA.regular.comment.csv",7

"ANA201704240",47,"ej,gibbj001,M,basnt901,Called third strike Blue Jays Manager John Gibbons ejected by HP umpire Toby Basner"2017ANA.EVA.regular.comment.csv",8

"ANA201704240",55,"$Devon Travis called for interference when his back swing struck catcher Martin Maldonado during a steal attempt"2017ANA.EVA.regular.comment.csv",9

"ANA201704260",27,"Athletics pitcher Sean Manaea left the game due to an injured arm"2017ANA.EVA.regular.comment.csv",10

"ANA201705050",7,"replay,1,troum001,ANA,culbf901,ANA01,,Y,M,HOU,A $when Cameron Maybin was called safe at 2B advancing on a wild pitch, Astros manager A.J. Hinch challenged the ruling; the call was overturned by replay"2017ANA.EVA.regular.comment.csv",11

"ANA201705070",39,"replay,5,reddj001,OAK,culbf901,ANA01,,Y,M,HOU,A $when Jake Marsinick was called out at 2B, Astros manager A.J. Hinch challenged the ruling; the call was overturned by replay"2017ANA.EVA.regular.comment.csv",12

"ANA201705120",19,"replay,2,pennc001,ANA,wintm901,ANA01,,Y,M,ANA,C $when Cliff Pennington was called out at 1B, Angels manager Mike Scioscia challenged the ruling; the call was overturned by replay"2017ANA.EVA.regular.comment.csv",13

"ANA201705120",39,"$originally scored as single, changed to dropped catch error on 05-24-2017"2017ANA.EVA.regular.comment.csv",14

"ANA201705130",2,"replay,1,castn001,DET,wintm901,ANA01,,Y,M,ANA,A $when Ian Kinsler was called safe at 2B, Tigers manager Brad Ausmus challenged the ruling; the call was overturned by replay"2017ANA.EVA.regular.comment.csv",15

"ANA201705160",60,"ej,coopd001,C,gibsh902,Balls and strikes White Sox Pitching Coach Don Cooper ejected by HP umpire Tripp Gibson"2017ANA.EVA.regular.comment.csv",16

"ANA201705160",72,"replay,9,frazt001,CHA,gormb901,ANA01,,N,M,ANA,A $when Avisail Garcia was called safe at HP, Angels manager Mike Scioscia challenged the ruling; the call was upheld by replay; originally scored as a single, but changed to double on 05-17-2017"2017ANA.EVA.regular.comment.csv",17

"ANA201705170",42,"replay,5,abrej003,CHA,gormb901,ANA01,,Y,M,ANA,C $when Jose Abreu was called safe at 1B, Angels manager Mike Scioscia challenged the ruling; the call was overturned by replay"2017ANA.EVA.regular.comment.csv",18

"ANA201705290",21,"$originally scored as error, changed to single on 06-02-2017, adding RBI and four earned runs"2017ANA.EVA.regular.comment.csv",19

"ANA201705290",34,"replay,4,valbl001,ANA,barrt901,ANA01,O,N,U,,H $Luis Valbuena's fly to RF was touched by a fan above the yellow line and the ball caromed back onto the field; it was ruled a home run but crew chief Ted Barrett requested a review; the call was upheld by replay"2017ANA.EVA.regular.comment.csv",20

"ANA201705310",36,"ej,snitb801,M,barrt901,Balk call Braves Manager Brian Snitker ejected by 1B umpire Ted Barrett"2017ANA.EVA.regular.comment.csv",21

"ANA201705310",54,"replay,7,robis001,ANA,barrt901,ANA01,,N,M,ATL,E $when Martin Maldonado was called out at 3B and Rio Ruiz' throw to 1B was wild, Braves acting manager Terry Pendleton challenged the slide at 3B; the slide was ruled legal by replay"2017ANA.EVA.regular.comment.csv",22

"ANA201706010",11,"$error originally charged to pitcher, changed to E1 on 06-02-2017"2017ANA.EVA.regular.comment.csv",23

"ANA201706010",44,"replay,6,simma001,ANA,kellj901,ANA01,,Y,M,MIN,C $when Andrelton Simmons was called safe at 1B, Twins manager Paul Molitor challenged the ruling; the call was overturned by replay"2017ANA.EVA.regular.comment.csv",24

"ANA201706010",70,"replay,9,rosae001,MIN,kellj901,ANA01,,N,M,ANA,A $when Jorge Polanco was called safe at 3B, Angels manager Mike Scioscia challenged the ruling; the call was upheld by replay"2017ANA.EVA.regular.comment.csv",25

"ANA201706030",38,"$the 600th home run of Albert Pujols' career"2017ANA.EVA.regular.comment.csv",26

"ANA201706040",71,"replay,9,youne003,ANA,kellj901,ANA01,,Y,M,MIN,A $when Ben Revere was called safe at 2B, Twins manager Paul Molitor challenged the ruling; the call was overturned by replay, thus ending the game"2017ANA.EVA.regular.comment.csv",27

"ANA201706130",37,"Yankees pitcher CC Sabathia left the game due to an injured leg"2017ANA.EVA.regular.comment.csv",28

"ANA201706140",35,"Angels pitcher Matt Shoemaker left the game due to an injured arm"2017ANA.EVA.regular.comment.csv",29

"ANA201706140",81,"replay,9,hicka001,NYA,davig901,ANA01,,Y,M,NYA,D $when Kole Calhoun was ruled to have caught the fly ball, Yankees manager Joe Girardi challenged the ruling; the call was overturned by replay"2017ANA.EVA.regular.comment.csv",30

"ANA201706150",42,"replay,5,espid001,ANA,culbf901,ANA01,F,Y,U,,H $Danny Espinosa's fly to LF was ruled fair and a home run; crew chief Fieldin Culbreth requested a review, which overturned the call to a foul ball by replay"2017ANA.EVA.regular.comment.csv",31

"ANA201706170",44,"replay,6,merrw001,KCA,culbf901,ANA01,,Y,M,KCA,C $when Drew Butrera was called out at 2B after Danny Espinosa dropped the throw, Royals manager Ned Yost challenged the ruling; the call was overturned by replay"2017ANA.EVA.regular.comment.csv",32

"ANA201706180",6,"replay,1,calhk001,ANA,culbf901,ANA01,O,N,U,,H $Kole Calhoun's fly to RF struck the top of the wall and was called in play; crew chief Fieldin Culbreth requested a review, which upheld the call by replay"2017ANA.EVA.regular.comment.csv",33

"ANA201707010",5,"$Mariners challenged safe call on steal; call overturned  - caught stealing"2017ANA.EVA.regular.comment.csv",34

"ANA201707010",30,"$Mariners Nelson Cruz left with injured knee"2017ANA.EVA.regular.comment.csv",35

"ANA201707020",65,"$Angels challenged call that Pujols was out at first; call upheld - out"2017ANA.EVA.regular.comment.csv",36

"ANA201707140",22,"$Rays challenged call that Maybin was safe on steal attempt; call was overturned - caught stealing"2017ANA.EVA.regular.comment.csv",37

"ANA201707160",11,"$Rays challenged call that Souza was out trying to stretch single; call was upheld - single and out at 2nd"2017ANA.EVA.regular.comment.csv",38

"ANA201707160",56,"$Angels challenged call that Calhoun was out trying to stretch single; call was upheld - out"2017ANA.EVA.regular.comment.csv",39

"ANA201707180",6,"$Nationals challenged call that Maybin was safe on stolen base; call was overturned - caught stealing"2017ANA.EVA.regular.comment.csv",40

"ANA201707180",9,"$Maybin left with injured knee"2017ANA.EVA.regular.comment.csv",41

"ANA201707180",20,"$Nationals challenged call that Harper was out trying to stretch; call was upheld - single and out at second"2017ANA.EVA.regular.comment.csv",42

"ANA201707190",45,"$Nationals challenged call that Robinson was safe at first; call was upheld - forceout"2017ANA.EVA.regular.comment.csv",43

"ANA201707220",41,"ej,farrj001,M,cuzzp901,Arguing balls and strikes $Red Sox manager Farrell ejected by plate umpire Cuzzi for arguing balls and strikes"2017ANA.EVA.regular.comment.csv",44

"ANA201707230",9,"$Angels challenged call that Bogaerts was safe at 1st; call overturned - ground out"2017ANA.EVA.regular.comment.csv",45

"ANA201708010",28,"$Angels challenged call that Escobar was out at home; call was upheld - out"2017ANA.EVA.regular.comment.csv",46

"ANA201708010",56,"$Phillies challenged call that Hernandez was out at 1st; call was overturned - single"2017ANA.EVA.regular.comment.csv",47

"ANA201708030",25,"$Andrew Knapp injured hand on foul ball hit by Pujols"2017ANA.EVA.regular.comment.csv",48

"ANA201708050",29,"$Athletics challenged call that Healy was out at 1st; call was upheld - ground out"2017ANA.EVA.regular.comment.csv",49

"ANA201708080",45,"ej,pujoa001,P,dejer901,Check swing strike 3 ej,sciom001,M,dejer901,Check swing strike 3 $Pujols ejected and Angels manager Scioscia ejected by 1B umpire De Jesus for check swing strike 3"2017ANA.EVA.regular.comment.csv",50

"ANA201708090",16,"$umpires reviewed to be sure hit was a home run; call upheld - home run"2017ANA.EVA.regular.comment.csv",51

"ANA201708090",40,"$Orioles challenged call that Trout was safe at first; call was upheld - single"2017ANA.EVA.regular.comment.csv",52

"ANA201708210",53,"$Rangers challenged call that the left fielder has dropped Simmons' fly ball; call was overturned - fly out"2017ANA.EVA.regular.comment.csv",53

"ANA201708230",72,"$rangers challenged call that Chirinos was out at home; call was upheld - out"2017ANA.EVA.regular.comment.csv",54

"ANA201708240",66,"$Rangers challenged call that Napoli was out at 1st to complete double play; call was overturned - force out, no DP"2017ANA.EVA.regular.comment.csv",55

"ANA201708250",4,"ej,coraa001,C,diazl901,Arguing strike one call from bench $Astros coach Alex Cora ejected by plate umpire Diaz after strike one call to Gurriel"2017ANA.EVA.regular.comment.csv",56

"ANA201708290",15,"$umpires reviewed call that Olson hit home run; call was upheld - home run"2017ANA.EVA.regular.comment.csv",57

"ANA201708300",70,"$umpires reviewed play to be sure Pennington's hit was a home run; call was upheld - home run"2017ANA.EVA.regular.comment.csv",58

"ANA201709130",22,"$Jake Marisnick left with injured hand"2017ANA.EVA.regular.comment.csv",59

"ANA201709140",50,"$Keynan Middleton left with injured elbow"2017ANA.EVA.regular.comment.csv",60

"ANA201709150",28,"$umpires reviewed to be sure Calhoun's hit was not a home run; call was upheld - double"2017ANA.EVA.regular.comment.csv",61

"ANA201709150",43,"$Nomar Mazara left with injured leg"2017ANA.EVA.regular.comment.csv",62

"ANA201709160",49,"$Angels challenged call that Gallo was safe at 2nd; call was overturned - caught stealing"2017ANA.EVA.regular.comment.csv",63

"ANA201709160",61,"$Angels challenged call that Simmons was out at 2nd; call was upheld - caught stealing"2017ANA.EVA.regular.comment.csv",64

"ANA201709170",8,"$Rangers challenged call that Trout was safe at 2nd; call was overturned - caught stealing"2017ANA.EVA.regular.comment.csv",65

"ANA201709170",24,"$Angels challenged call that Cron was out at home; call was upheld - fielder's choice out"2017ANA.EVA.regular.comment.csv",66

"ANA201709170",63,"$Rangers challenged call that Pujols was safe at 1st; call was upheld - single"2017ANA.EVA.regular.comment.csv",67

"ANA201710010",49,"$Angels challenged call that Cron was out at 1st; call was overturned - safe on fielder's choice"2017ANA.EVA.regular.comment.csv",68

